datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2012-05-09,SPD,0.266763378465506,0.0216313733075435,0.28839475177305,0.245132005157963
2012-05-09,Grüne,0.13,0.0164646744036106,0.146464674403611,0.113535325596389
2012-05-09,FDP,0.0432366215344939,0.0100374403610574,0.0532740618955513,0.0331991811734365
2012-05-09,Linke,0.0667633784655061,0.0121402063185042,0.0789035847840103,0.0546231721470019
2012-05-15,CDU/CSU,0.343325604504803,0.0236131831732362,0.366938787678039,0.319712421331567
2012-05-15,SPD,0.280023186485591,0.0222443424975157,0.302267528983107,0.257778843988075
2012-05-15,Grüne,0.143348790990394,0.0173226399470023,0.160671430937396,0.126026151043392
2012-05-15,FDP,0.05,0.010836939383902,0.060836939383902,0.039163060616098
2012-05-15,Linke,0.06,0.0118066611460749,0.0718066611460749,0.0481933388539251
2012-05-22,CDU/CSU,0.336616144975288,0.023443805601318,0.360059950576606,0.31317233937397
2012-05-22,SPD,0.300151565074135,0.0225527215815486,0.322704286655684,0.277598843492587
2012-05-22,Grüne,0.136691927512356,0.0169789093904448,0.153670836902801,0.119713018121911
2012-05-22,FDP,0.05,0.0108032289950577,0.0608032289950577,0.0391967710049423
2012-05-22,Linke,0.06,0.0117723196046129,0.0717723196046128,0.0482276803953871
2012-05-23,CDU/CSU,0.33,0.0233095748187212,0.353309574818721,0.306690425181279
2012-05-23,SPD,0.303470665787739,0.0226669182597231,0.326137584047462,0.280803747528016
2012-05-23,Grüne,0.136694133157548,0.0169809558338827,0.15367508899143,0.119713177323665
2012-05-23,FDP,0.0533058668424522,0.0112056624917601,0.0645115293342123,0.0421002043506922
2012-05-23,Linke,0.06,0.0117746638101516,0.0717746638101516,0.0482253361898484
2012-05-29,CDU/CSU,0.33,0.0233867108753316,0.353386710875332,0.306613289124668
2012-05-29,SPD,0.296697612732095,0.0226210344827586,0.319318647214854,0.274076578249337
2012-05-29,Grüne,0.136674403183024,0.0170389622015915,0.153713365384615,0.119635440981432
2012-05-29,FDP,0.0466511936339523,0.0106019164456233,0.0572531100795756,0.0360492771883289
2012-05-29,Linke,0.06,0.0118099834217507,0.0718099834217507,0.0481900165782493
2012-06-05,CDU/CSU,0.336689768976898,0.0234270759075908,0.360116844884488,0.313262693069307
2012-06-05,SPD,0.303448844884488,0.0226834356435644,0.326132280528053,0.280765409240924
2012-06-05,Grüne,0.136689768976898,0.0169968316831683,0.153686600660066,0.119692937293729
2012-06-05,FDP,0.0533102310231023,0.0112146303630363,0.0645248613861386,0.042095600660066
2012-06-05,Linke,0.0533102310231023,0.0112146303630363,0.0645248613861386,0.042095600660066
2012-06-12,CDU/CSU,0.343362011912641,0.0235614460622105,0.366923457974851,0.31980056585043
2012-06-12,SPD,0.296724023825281,0.0225961846459298,0.319320208471211,0.274127839179351
2012-06-12,Grüne,0.13668100595632,0.0170218696227664,0.153702875579087,0.119659136333554
2012-06-12,FDP,0.0533189940436797,0.0112325579086698,0.0645515519523494,0.0420864361350099
2012-06-12,Linke,0.0466379880873594,0.010591181336863,0.0572291694242224,0.0360468067504964
2012-06-19,CDU/CSU,0.343317788141239,0.0236463657561626,0.366964153897402,0.319671422385077
2012-06-19,SPD,0.296635576282478,0.0226789373750833,0.319314513657562,0.273956638907395
2012-06-19,Grüne,0.13,0.0167680512991339,0.146768051299134,0.113231948700866
2012-06-19,FDP,0.0533411059293804,0.0112706695536309,0.0646117754830113,0.0420704363757495
2012-06-19,Linke,0.0533411059293804,0.0112706695536309,0.0646117754830113,0.0420704363757495
2012-06-22,CDU/CSU,0.346656676656677,0.0237150482850483,0.370371724941725,0.322941628371628
2012-06-22,SPD,0.29997002997003,0.0227774925074925,0.322747522477522,0.277192537462537
2012-06-22,Grüne,0.13,0.0167660539460539,0.146766053946054,0.113233946053946
2012-06-22,FDP,0.0533433233433233,0.0112684681984682,0.0646117915417915,0.0420748551448551
2012-06-22,Linke,0.05,0.0108639260739261,0.0608639260739261,0.0391360739260739
2012-06-25,CDU/CSU,0.34,0.0235123620746614,0.363512362074661,0.316487637925339
2012-06-25,SPD,0.300049554013875,0.0226774132804757,0.322726967294351,0.277372140733399
2012-06-25,Grüne,0.136683184671292,0.0170039511067063,0.153687135777998,0.119679233564585
2012-06-25,FDP,0.0533168153287083,0.0112214271555996,0.0645382424843079,0.0420953881731087
2012-06-25,Linke,0.05,0.0108200925008259,0.0608200925008259,0.0391799074991741
2012-07-03,CDU/CSU,0.346643263122701,0.0237661618187897,0.370409424941491,0.322877101303912
2012-07-03,SPD,0.286643263122701,0.0225749682380475,0.309218231360749,0.264068294884654
2012-07-03,Grüne,0.136643263122701,0.0171196322300234,0.153762895352725,0.119523630892678
2012-07-03,FDP,0.0533567368772986,0.0112952925442996,0.0646520294215981,0.042061444332999
2012-07-03,Linke,0.0566432631227014,0.0114604480106988,0.0681037111334002,0.0451828151120027
2012-07-10,CDU/CSU,0.346680991735537,0.0236211570247934,0.370302148760331,0.323059834710744
2012-07-10,SPD,0.28,0.022298267768595,0.302298267768595,0.257701732231405
2012-07-10,Grüne,0.136680991735537,0.0170118776859504,0.153692869421488,0.119669114049587
2012-07-10,FDP,0.0466380165289256,0.0105811900826446,0.0572192066115702,0.036056826446281
2012-07-10,Linke,0.05,0.0108209652892562,0.0608209652892562,0.0391790347107438
